ACTIVIDAD ECONOMICA Y PRODUCTO,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020(p),Enero a Agosto 2021(p)
Palmitos,"0,6","2,9","6,3","7,5","9,5","12,4","12,1","4,5","3,5","3,3","2,1","3,4","4,7","5,8","7,1","9,8","9,9","8,2","11,7","13,5","16,3","16,9","16,3","15,1","11,5","11,4","10,7","8,2","10,1","6,4"
Preparaciones Alimenticias de Aceites Vegetales,,,,,,"0,1",9,"22,5","24,2","14,5","9,5","5,5","8,5","3,2","4,9","8,3","11,4","15,2","12,2","13,9",13,"9,9","7,8","3,9","4,9","4,7","4,7","3,7","3,7","2,2"
Otros Metales Manufacturados,"0,6",1,"0,6","0,6","0,4","0,4","1,1",1,"0,9","1,8","2,6","1,1","1,8","2,9",9,"13,1","12,7","5,1",8,"18,8","32,6","16,5","16,4","5,7","5,2","7,4",8,"5,4","3,7","9,1"
Urea Granulada,,,,,,,,,,,,,,,,,,,,,,,,,,,"67,1","75,2","4,8",
Carne de la Especie Bovina,,,,"0,1","0,7","0,1","0,8","0,4","0,8","1,1","0,7","0,3","1,3","2,2","2,9","3,5","2,1","0,9","1,1","2,9","5,7",13,"15,3",15,"11,9","11,8","14,8","24,5","70,1","74,9"
Metales con Materia Prima Importada,"9,9","20,9","26,6","31,5","30,3","19,7",,,,,,,,,,,,,,,,,,,,,,,,
Acido Orto borico,,,,,"1,6","2,3","3,5",4,"2,7","0,1","1,3","4,2","5,1","4,6","4,4","5,1","7,1","6,1","6,6","9,3","10,1","8,3","7,8",8,"7,5","6,4","6,7","0,9","0,1","1,1"
Cobre Refinado Catodos,,,,,,,,,,,,,,,,,,,5,"7,7","7,9","8,7","14,4","10,4","8,5","14,4","20,8","15,8","13,4","9,3"
Joyeria de Plata,1,"0,3",0,0,"0,1","0,3","0,1","0,3","0,3","1,3","0,8","1,2","1,6","2,4",2,"2,3","11,3","13,2","13,4","9,4","9,6","8,4","6,9","6,6","4,2",7,"1,9",0,0,0
Productos de Galleteria y Panaderia,,0,0,0,0,0,"0,4","0,1","0,7","0,2",0,"0,7",0,0,"0,1","0,2","0,9","1,2","3,9","6,1","4,9","8,4","8,5","8,4","8,1","10,7","10,6","10,4","7,7","5,6"
